Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jarren Duran*,27,BOS,AL,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,129,0.373,134,330,6,6,1,3,1
2,Shohei Ohtani*,29,LAD,NL,9.2,159,731,636,134,197,38,7,54,130,59,4,81,162,0.31,0.39,0.646,1.036,190,0.449,190,411,7,6,0,5,10
3,Gunnar Henderson*,23,BAL,AL,9.1,159,719,630,118,177,31,7,37,92,21,4,78,159,0.281,0.364,0.529,0.893,159,0.385,157,333,2,7,0,4,1
4,Marcus Semien,33,TEX,AL,4.1,159,718,650,101,154,27,2,23,74,8,3,64,105,0.237,0.308,0.391,0.699,100,0.31,100,254,9,3,0,1,2
5,Juan Soto*,25,NYY,AL,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,0.288,0.419,0.569,0.989,178,0.424,179,328,10,4,0,4,2
6,Bobby Witt Jr.,24,KCR,AL,9.4,161,709,636,125,211,45,11,32,109,31,12,57,106,0.332,0.389,0.588,0.977,171,0.416,171,374,4,8,0,8,9
7,Aaron Judge,32,NYY,AL,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,0.322,0.458,0.701,1.159,223,0.484,223,392,22,9,0,2,20
8,Vladimir Guerrero Jr.,25,TOR,AL,6.2,159,697,616,98,199,44,1,30,103,2,2,72,96,0.323,0.396,0.544,0.94,166,0.399,165,335,16,5,0,4,12
9,Elly De La Cruz#,22,CIN,NL,5.2,160,696,618,105,160,36,10,25,76,67,16,69,218,0.259,0.339,0.471,0.809,119,0.367,122,291,12,6,2,1,2
10,Pete Alonso,29,NYM,NL,2.6,162,695,608,91,146,31,0,34,88,3,0,70,172,0.24,0.329,0.459,0.788,123,0.341,122,279,14,13,0,4,4
11,Ezequiel Tovar,22,COL,NL,3.8,157,695,655,83,176,45,4,26,78,6,5,23,200,0.269,0.295,0.469,0.763,103,0.325,99,307,16,4,5,7,1
12,Bryan Reynolds#,29,PIT,NL,3.6,156,692,622,73,171,29,3,24,88,10,2,57,156,0.275,0.344,0.447,0.791,119,0.355,125,278,7,10,0,3,3
13,Kyle Schwarber*,31,PHI,NL,3.5,150,692,573,110,142,22,0,38,104,5,3,106,197,0.248,0.366,0.485,0.851,137,0.367,137,278,6,5,0,8,4
14,Francisco Lindor#,30,NYM,NL,6.9,152,689,618,107,169,39,1,33,91,29,4,56,127,0.273,0.344,0.5,0.844,138,0.373,141,309,7,12,0,3,0
15,Anthony Volpe,23,NYY,AL,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,0.243,0.293,0.364,0.657,86,0.296,84,232,9,4,2,3,1
16,Willy Adames,28,MIL,NL,3.1,161,688,610,93,153,33,0,32,112,21,4,74,173,0.251,0.331,0.462,0.794,118,0.348,117,282,12,1,0,3,3
17,Marcell Ozuna,33,ATL,NL,4.3,162,688,606,96,183,31,0,39,104,1,0,74,170,0.302,0.378,0.546,0.925,154,0.394,154,331,23,3,0,4,2
